Program,DB Table Name,IMS Execution Program
GNFCAIOS,GNF.COA
GNFTRIOS,GNF.TRNSCTN_CD_TRNSLTN
HSCPTIOS,HSC.PROV_TRNSFR
HSCNPIOS,HSC.NTWK_CNTRCT_RLTNSHP
HSCPVIOS,HSC.PROV_RPTG
HSCGRIOS,HSC.EXTRNL_GRP
HSCRRIOS,HSC.RPTG_GRP
HSCRRIOS,HSC.RPTG_GRP_RLTNSHP
HSCPRVOT,HSC.PROV
HSCMPIOS,HSC.MANL_PAYMNT_RQST
HSCMPIOS,HSC.MANL_PAYMNT_ERR
HSCMPIOS,HSC.MANL_PAYMNT_MNTH
HSCMPIOS,HSC.MANL_PAYMNT_ACTVTY
HSCPRIOS,HSC.CPTTN_PN
HSCPRIOS,HSC.PROV_ADRS
HSCPRIOS,HSC.PN_NTWK_OPT
HSCPRIOS,HSC.PROV
HSCPRIOS,HSC.PROV_POD
HSCPRIOS,HSC.PROV_INST
HSCPRIOS,HSC.LGCY_PROV_ID
HSCGNIOS,HSC.MBRSHP_ADJSTMNT_PROD
HSCGNIOS,HSC.MBRSHP_ADJSTMNT_HRCHY
HSCMPEXT,HSC.CPTTN_PAYMNT
HSCAOIOS,HSC.CPTTN_PAYMNT
HSCAOIOS,HSC.CPTTN_PAYMNT_PREM
HSCAOIOS,HSC.CPTTN_PAYMNT_FUNDG_TYPE
HSCAOIOS,HSC.CPTTN_PAYMNT_RETRO
HSCHCIOS,HSC.CPTTN_HC_ID
HSCPAIOS,HSC.CMPNY_MBU_PROD_ASGNMNT
HSCARIOS,HSC.ALT_PREM_RT
HSCAPIOS,HSC.CPTTN_PAYMNT
HSCAPIOS,HSC.CPTTN_PAYMNT_PREM
HSCAPIOS,HSC.CPTTN_PAYMNT_FUNDG_TYPE
HSCAPIOS,HSC.CPTTN_PAYMNT_RETRO
HSCCLIOS,HSC.MANL_CLM
HSCADIOS,HSC.CPTTN_ADMIN
HSCPWIOS,HSC.ALT_SRC_ID
HSCPWIOS,HSC.PHYSN_CNTRCT
HSCPWIOS,HSC.BE_SITE
HSCPWIOS,HSC.WGS_HMO_RLTNSHP
HSCPWIOS,HSC.APREM_RMT
HSCPWIOS,HSC.PROV_PRFL
HSCRGIOS,HSC.RLUP_GRP
HSCRGIOS,HSC.RLUP_GRP_RULE
HSCCPIOS,HSC.CPTTN_PAYMNT
HSCCPIOS,HSC.ARCHV_PAYMNT
HSCCPIOS,HSC.ARCHV_PAYMNT_PREM
HSCCPIOS,HSC.CPTTN_PAYMNT_PREM
HSCCPIOS,HSC.ARCHV_PAYMNT_FUNDG_TYPE
HSCCPIOS,HSC.CPTTN_PAYMNT_FUNDG_TYPE
HSCCPIOS,HSC.CPTTN_PAYMNT_RETRO
HSCCPIOS,HSC.ARCHV_PAYMNT_RETRO
HSCAXIOS,HSC.ANCLRY_RLTNSHP
HSCAXIOS,HSC.VNDR_RDR_ASGNMNT
HSCMGIOS,HSC.MBR_GNRL_INFO
HSCFOIOS,HSC.FNCL_OVRD
HSCCFIOS,HSC.GL_CHRTFLD
IMMLISC,IMM.SENIOR_WHOLE_LIFE
IMM104S,SNCONT
IMM0002,IMM.ECHK_PRMM_PYMNT
IMM0003,IMM.ECHK_PRMM_PYMNT
IMMCMNCS,IMMBNTDB,XSMMAIBS
IMMCMNCS,IMMBNTS1,XSMMAIBS
IMMCMNCS,IMMBNTS2,XSMMAIBS
IMMCMNCS,IMMMBRDB,XSMMAIBS
IMMCMNCS,IMMMBRDB-2,XSMMAIBS
IMMCMNCS,HDBPVHDB,XSMMAIBS
IMMCMNCS,HDBPVBDB,XSMMAIBS
IMMCMNCS,HDBPVPDB,XSMMAIBS
IMM0361,IMM.KEYS
IMMBLTP,PROD
IMMBLTP,SESSION.IMMBLTP_TEMP1
IMMBLTP,IMM.BILLING_TYPE
IMMSURIO,IMM.TBL_DTL
IMMANVIO,IMM.MBR_ANNIV
IMMIZPI,IMB.ZIP_FACTOR
IMMSTATS,IMMMBRDB,XSMMAIBS
IMM0363,IMM.KEYS
IMMOLEUF,IMMMBRDB,XSMMAIBS
IMM0001,IMM.LCKBX_PRMM_PYMNT
IMMEPGXS,IMMMBRDB,XSMMAIBS
IMMEPGXS,IMMMBRD2,XSMMAIBS
IMMEPGXS,IMMMBRD4,XSMMAIBS
IMMEPGXS,IMMGPSDB,XSMMAIBS
IMMEPGXS,IMMDSMDB,XSMMAIBS
IMMEPGXS,IMMSBNDB,XSMMAIBS
IMMEPGXS,DNDENTDB,XSMMAIBS
IMMEPGXS,HDBZRDDB,XSMMAIBS
IMMEPGXS,HDBPMGDB,XSMMAIBS
IMMEPGXS,HDBIPADB,XSMMAIBS
IMMEPGXS,IMMBTRDB,XSMMAIBS
IMMEPGXS,IMMFINDB,XSMMAIBS
IMMEPGXS,IMMLSTDB,XSMMAIBS
IMMEPGXS,IMMBNTDB,XSMMAIBS
IMMEPGXS,IMMBNTS1,XSMMAIBS
IMMEPGXS,IMMBNTS2,XSMMAIBS
IMMEPGXS,IMMBNTD2,XSMMAIBS
IMMEPGXS,IMMADJDB,XSMMAIBS
IMMEPGXS,IMMZIPDB,XSMMAIBS
IMMEPGXS,NDBPVNDB,XSMMAIBS
IMMEPGXS,NDBPVNS1,XSMMAIBS
IMMEPGXS,NDBPVBDB,XSMMAIBS
IMMEPGXS,IMMAUDDB,XSMMAIBS
IMMEPGXS,IMMTBLDB,XSMMAIBS
IMM0362,IMM.KEYS
IMMANVIN,IMM.MBR_ANNIV
IMMVVOLS,IMB.CONT_ACTV
IMMVVOLS,IMB.LIFE_FACTOR
IMMANSTS,IMB.CONT_ACTV
IMMADJFU,IMM.ADJUSTMENT_FACTOR
IMM9430,IMB.GRP_FACTOR
IMMCNTX2,IMMMBRDB,XSMMAIBS
