Program,Exception Type,Code
GNF00415,Missing copybook,       COPY wgmAPSYD.                                                           
GNF00415,Missing copybook,           COPY wgmAPSYP                                                        
GNA0318,Missing copybook,           Copy ACRArea.                                                        
GNA0434,Missing copybook,       COPY gnarmbfs.                                                           
GNA0580.COB,Missing variable referrence,ZA6947     CALL WAFTBLSS-PGM-NAME   USING WAFTBLSS-PARM-LIST                    
GNA0386.COB,Missing variable referrence,ZA6947     CALL WAFTBLSS-PGM-NAME   USING WAFTBLSS-PARM-LIST                    
GNAS800.COB,Missing variable referrence,Z00457        CALL GNANMECD-PROGRAM USING GNANMECD-RECORD                       
GNA0314O.COB,Missing variable referrence,ZA6947     CALL WAFTBLSS-PGM-NAME   USING WAFTBLSS-PARM-LIST                    
GNA0315,Missing copybook,           Copy ACRArea.                                                        
GNA0702.COB,Missing variable referrence,ZA6947     CALL WAFTBLSS-PGM-NAME   USING WAFTBLSS-PARM-LIST                    
HSC71502,Missing copybook,PKG876     COPY 'HSCCHROC'.                                                     
IMMSBLU.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMSBLU.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMAMIOS.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMMBRR.COB,Missing variable referrence,RP6047     CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRR.COB,Missing variable referrence,RP6047     CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMMBRR.COB,Missing variable referrence,           CALL IMBGRFIO-PGM-NAME   USING IMBGRFIO-IO-AREA                      
IMMMBRR.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRR.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRR.COB,Missing variable referrence,                  CALL IMBXEIOS-PGM-NAME USING IMBXEIOS-IO-AREA                 
IMMMBRR.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRR.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRR.COB,Missing variable referrence,NT3776     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMMBRR.COB,Missing variable referrence,NT3776     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMMBRR.COB,Missing variable referrence,CT4231     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMMBRR.COB,Missing variable referrence,CT4231     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMMBRR.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME       USING IMBXCIOS-IO-AREA                  
IMMMBRR.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME       USING IMBXEIOS-IO-AREA                  
IMMMBRR.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMM0598.COB,Missing variable referrence,               CALL IMBXCIOS-PGM-NAME                                           
IMMCONT.COB,Missing variable referrence,MK4999        CALL IMBXEIOS-PGM-NAME       USING IMBXEIOS-IO-AREA               
IMMCONT.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMSBLA.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMSBLA.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMSBLA.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMSBLA.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMEGHI.COB,Missing variable referrence,               CALL IMMHRIOS-PGM-NAME USING IMMHRIOS-IO-AREA                    
IMMOLEUF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                                     
IMMOLEUF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                                     
IMMOLEUF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                                     
IMMOLEUF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                                     
IMMOLEUF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                                     
IMMOLEUF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                                     
IMMOLEUF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                                     
IMMEPGMS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMEPGMS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMOTIOS.COB,Missing variable referrence,CT2601     CALL WS-IMMDT2DB         USING IMMOTIOS-TIMESTAMP(1:10)              
IMMOTIOS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMOTIOS.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMOTIOS.COB,Missing variable referrence,CT8683     CALL IMBGRFIO-PGM-NAME   USING IMBGRFIO-IO-AREA                      
IMMMEMB.COB,Missing variable referrence,CT4231     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMM0558.COB,Missing variable referrence,                                          CALL IMBXCIOS-PGM-NAME                
IMM0558.COB,Missing variable referrence,           CALL IMBGRFIO-PGM-NAME   USING IMBGRFIO-IO-AREA                      
IMM0558.COB,Missing variable referrence,                                          CALL IMBXEIOS-PGM-NAME                
IMMEPGXS,Missing copybook,           COPY EPSAPICD.                                                       
IMMEPGXS,Missing copybook,           COPY EPSAPICC.                                                       
IMMEPGXS,Missing copybook,           COPY EPSPACOD.                                                       
IMMEPGXS,Missing copybook,           COPY EPSPACOC.                                                       
IMMEPGXS,Missing copybook,           COPY EPSAPICP.                                                       
IMMEPGXS,Missing copybook,           COPY EPSPACOP.                                                       
IMMEPGXS.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMEPGXS.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMEPGXS.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMEPGXS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMEPGXS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMEPGXS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMSBCX.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMCTCG,Missing copybook,MG9607     COPY WAFGEAID   REPLACING ==(RQ)== BY ==RQ==.                        
IMMCTCG,Missing copybook,MG9607     COPY WAFGEAOD   REPLACING ==(RP)== BY ==RP==.                        
IMMCTCG.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME    USING IMMMNIOS-IO-AREA                     
IMMCTCG.COB,Missing variable referrence,"  ""        CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       "
IMMCTCG.COB,Missing variable referrence,CT4231        CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                    
IMMCTCG.COB,Missing variable referrence,"  ""        CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       "
IMMCTCG.COB,Missing variable referrence,NG6389     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMEGPY.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMEGPY.COB,Missing variable referrence,           CALL IMBGPIOS-PGM-NAME USING   IMBGPIOS-IO-AREA                      
IMMEGPY.COB,Missing variable referrence,           CALL IMBGPIOS-PGM-NAME USING   IMBGPIOS-IO-AREA                      
IMMEGPY.COB,Missing variable referrence,           CALL IMBGPIOS-PGM-NAME USING   IMBGPIOS-IO-AREA                      
IMMINRKS.COB,Missing variable referrence,           CALL WS-IMMGNIOU-PGM     USING IMMGNIOD-IO-LIST                      
IMMINRKS.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMM9801.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMM3280.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
